Rang.Sistem,Rang.Pakar,Preccsion,Recall,F-Measure
menolak permohonan kasasi dari pemohon kasasi pt nusa halmahera mineral tersebut;,"menolak permohonan kasasi dari pemohon kasasi pt. nusa halmahera mineral tersebut; menghukum pemohon kasasi untuk membayar biaya perkara dalam tingkat ditetapkan sebesar rp. 500.000,00 (lima ratus ribu rupiah).",0.367,1.000,0.537
menolak permohonan kasasi dari pemohon kasasi pt bina san prima tersebut;,menolak permohonan kasasi dari pemohon kasasi pt bina san prima tersebut; membebankan biaya perkara kepada negara;,0.688,1.000,0.815
menolak permohonan kasasi dari pemohon kasasi heara halawa,menolak permohonan kasasi dari pemohon kasasi heara halawa tersebut; membebankan biaya perkara kepada negara.,0.571,1.000,0.727
"memperbaiki amar putusan pengadilan hubungan industrial pada pengadilan negeri medan nomor 251/pdt.sus-phi/2017/pn mdn. tanggal 20 februari 2017 sehingga amar selengkapnya sebagai berikut: dalam eksepsi:. rp55.104.608,00 dengan perincian sebagai berikut:. 3 x rp2.528.815,00 = rp 7.586.445,00. 15% x rp48.047.485,00 = rp 7.057.123,00 + total = rp55.104.608,00. 4. sehingga total keseluruhan hak-hak penggugat sebesar rp55.104.608,00 (lima puluh lima juta seratus empat ribu enam ratus delapan rupiah);",menolak p ermohonan kasasi dari pemohon kasasi pt laut united (pengusaha) tersebut; memperbaiki amar putusan pengadilan hubungan industrial pada pengadilan negeri medan nomor 251/pdt.sus-phi/2017/pn mdn. tanggal 20 februari 2017;,0.647,0.253,0.364
"menghukum tergugat membayar uang kompensasi pemutusan hubungan kerja kepada penggugat sejumlah rp14.019.280,00 (empat belas juta sembilan belas ribu dua ratus delapan puluh rupiah);",mengabulkan permohonan kasasi dari pemohon kasasi; membatalkan putusan pengadilan hubungan industrial pada pengadilan negeri jakarta pusat nomor 371/pdt.sus-phi/2019/pn jkt.pst. tanggal 2 april 2020.,0.034,0.038,0.036
"menghukum tergugat membayar uang kompensasi pemutusan hubungan kerja kepada penggugat sejumlah rp14.019.280,00 (empat belas juta sembilan belas ribu dua ratus delapan puluh rupiah);","mengabulkan permohonan kasasi dari pemohon kasasi; membatalkan putusan pengadilan hubungan industrial pada pengadilan negeri jakarta pusat nomor 371/pdt.sus-phi/2019/pn jkt.pst. tanggal 2 april 2020.menolak eksepsi tergugat untuk seluruhnya; menolak gugatan provisi penggugat untuk seluruhnya; mengabulkan gugatan penggugat sebagian; menyatakan putus hubungan kerja antara penggugat dengan tergugat sejak tanggal 18 januari 2018; menghukum tergugat membayar uang kompensasi pemutusan hubungan kerja kepada penggugat sejumlah rp14.019.280,00 (empat belas juta sembilan belas ribu dua ratus delapan puluh rupiah); menolak gugatan penggugat selain dan selebihnya; membebankan biaya perkara kepada negara.",0.277,1.000,0.433
"menghukum tergugat untuk membayar: uang pesangon 2 x 9 x rp2.989.630,00 = rp53.813.340,00 (lima puluh tiga juta delapan ratus tiga belas ribu tiga ratus empat puluh rupiah);. 4 x rp2.989.630,00 = rp11.958.520,00 (sebelas juta sembilan ratus lima puluh delapan ribu lima ratus dua puluh rupiah);. 15% x rp65.771.860,00 = rp9.865.779,00 (sembilan juta delapan ratus enam puluh lima ribu tujuh ratus tujuh puluh sembilan rupiah);. 3.3. cuti tahun 2019 adalah 12 : 25 x rp2.989.630,00 = rp1.435.022,00 (satu juta empat ratus tiga puluh lima ribu dua puluh dua rupiah);. total seluruhnya adalah rp53.813.340,00 + rp23.259.321,00 = rp77.072.661,00 (tujuh puluh tujuh juta tujuh puluh dua ribu enam ratus enam puluh satu rupiah);",menolak permohonan kasasi dari pemohon kasasi pt sinar mas multifinance cabang pekanbaru tersebut; memperbaiki amar putusan pengadilan hubungan industrial pada pengadilan negeri pekanbaru nomor 16/pdt.sus-phi/2020/pn pbr. tanggal 28 april 2020.,0.000,0.000,0.000
"pesangon 2 x 6 x rp3.325.000,00 = rp33.250.000,00 (tiga puluh tiga juta dua ratus lima puluh ribu rupiah);. 2. uang penghargaan masa kerja 1 x 2 x rp3.325.000,00 = rp6.650.000,00 (enam juta enam ratus lima puluh ribu rupiah);. rp39.900.000,00 = rp5.985.000,00 (lima juta sembilan ratus. 4. cuti tahun 2019 adalah 6 : 25 x rp3.325.000,00 = rp798.000,00 (tujuh ratus sembilan puluh delapan ribu rupiah);. 5. upah penggugat pada saat dirumahkan bulan september 2017 sebesar rp3.325.000,00 (tiga juta tiga ratus dua puluh lima ribu rupiah);. total seluruhnya adalah rp49.035.570,00 (empat puluh sembilan juta tiga puluh lima ribu lima ratus tujuh puluh rupiah);",menolak permohonan kasasi dari pemohon kasasi pt sinar mas multifinance cabang pekanbaru tersebut; memperbaiki amar putusan pengadilan hubungan industrial pada pengadilan negeri pekanbaru nomor 11/pdt.sus-phi/2020/pn pbr. tanggal 6 mei 2020.,0.057,0.016,0.025
"pesangon 2 x 6 x rp3.325.000,00 = rp33.250.000,00 (tiga puluh tiga juta dua ratus lima puluh ribu rupiah);. 2. uang penghargaan masa kerja 1 x 2 x rp3.325.000,00 = rp6.650.000,00 (enam juta enam ratus lima puluh ribu rupiah);. rp39.900.000,00 = rp5.985.000,00 (lima juta sembilan ratus. 4. cuti tahun 2019 adalah 6 : 25 x rp3.325.000,00 = rp798.000,00 (tujuh ratus sembilan puluh delapan ribu rupiah);. 5. upah penggugat pada saat dirumahkan bulan september 2017 sebesar rp3.325.000,00 (tiga juta tiga ratus dua puluh lima ribu rupiah);. total seluruhnya adalah rp49.035.570,00 (empat puluh sembilan juta tiga puluh lima ribu lima ratus tujuh puluh rupiah);",menolak permohonan kasasi dari pemohon kasasi pt sinar mas multifinance cabang pekanbaru tersebut; memperbaiki amar putusan pengadilan hubungan industrial pada pengadilan negeri pekanbaru nomor 11/pdt.sus-phi/2020/pn pbr. tanggal 6 mei 2020.,0.057,0.016,0.025
menolak permohonan kasasi dari pemohon kasasi: pt asuransi reliance indonesia tersebut;,"menolak permohonan kasasi dari pemohon kasasi: pt asuransi reliance indonesia tersebut; menghukum pemohon kasasi untuk membayar biaya perkara dalam tingkat kasasi ditetapkan sejumlah rp500.000,00 (lima ratus ribu rupiah);",0.367,1.000,0.537
