Rang.Sistem,Rang.Pakar,Preccsion,Recall,F-Measure
"pt nusa halmahera mineral, yang diwakili oleh presiden direktur anang r. noor, berkedudukan di the manhattan square, lantai 3, mid tower, jalan t.b. simatupang, kav. 1-s, rt 10, rw 01, kelurahan cilandak timur, kecamatan pasar minggu, jakarta selatan, dalam hal ini memberi kuasa kepada a. kemalsjah siregar dan kawan- kawan, para advokat pada kantor hukum kemalsjah & associates, beralamat di graha cimb niaga, lantai 8, jalan jenderal sudirman, kav. 58, jakarta selatan, berdasarkan surat kuasa khusus tanggal 27 november 2019; pemohon kasasi;","pt nusa halmahera mineral, yang diwakili oleh presiden direktur anang r. noor, berkedudukan di the manhattan square, lantai 3, mid tower, jalan t.b. simatupang, kav. 1-s, rt 10, rw 01, kelurahan cilandak timur, kecamatan pasar minggu, jakarta selatan, dalam hal ini memberi kuasa kepada a. kemalsjah siregar dan kawan-kawan, para advokat pada kantor hukum kemalsjah & associates, beralamat di graha cimb niaga, lantai 8, jalan jenderal sudirman, kav. 58, jakarta selatan sebagai pemohon kasasi/tergugat;",0.974,0.904,0.938
"pt bina san prima, yang diwakili oleh direktur drs. setiawan thahjadi, berkedudukan di jalan harun sohar, komplek palembang star, blok a 16, 17, 18, kota palembang, dalam hal ini memberi kuasa kepada meisal suhardi, s.h. dan kawan, para advokat pada kantor hukum law firm astari & partners, beralamat di jalan sukabangun i, lr. kito, nomor 1143, rt 022, rw 003, kelurahan suka bangun, kecamatan sukarami, kota palembang, sumatera selatan, berdasarkan surat kuasa khusus tanggal 30 maret 2020; pemohon kasasi;","pt bina san prima, yang diwakili oleh direktur drs. setiawan thahjadi, berkedudukan di jalan harun sohar, komplek palembang star, blok a 16, 17, 18, kota palembang, dalam hal ini memberi kuasa kepada meisal suhardi, s.h. dan kawan, para advokat pada kantor hukum law firm astari & partners, beralamat di jalan sukabangun i, lr. kito, nomor 1143, rt 022, rw 003, kelurahan suka bangun, kecamatan sukarami, kota palembang, sumatera selatan sebagai pemohon kasasi/tergugat;",0.973,0.899,0.934
"heara halawa, bertempat tinggal di kampung leuweung kaleng, rt 04, rw 03, kecamatan katapang, kabupaten bandung; pemohon kasasi;","heara halawa, bertempat tinggal di kampung leuweung kaleng, rt 04, rw 03, kecamatan katapang, kabupaten bandung sebagai pemohon kasasi;",0.947,1.000,0.973
"pt laut united (pengusaha), yang diwakili direktur zulfahri siagian, s.e., berkedudukan di pelabuhan perikanan samudra belawan, gibeon, belawan, medan, dalam hal ini memberi kuasa kepada beltsazar n.s. panjaitan, s.h., dan kawan-kawan, para advokat pada kantor hukum beltsazar n.s. panjaitan, s.h. & rekan, beralamat di jalan bunga rampai iv, gg. kopertis, nomor 1, simalingkar b, medan tuntungan, kota medan, provinsi sumatera utara, berdasarkan surat kuasa khusus tanggal 23 mei 2018; pemohon kasasi;","pt laut united (pengusaha), yang diwakili direktur zulfahri siagian, s.e., berkedudukan di pelabuhan perikanan samudra belawan, gibeon, belawan, medan, dalam hal ini memberi kuasa kepada beltsazar n.s. panjaitan, s.h., dan kawan-kawan, para advokat pada kantor hukum beltsazar n.s. panjaitan, s.h. & rekan, beralamat di jalan bunga rampai iv, gg. kopertis, nomor 1, simalingkar b, medan tuntungan, kota medan, provinsi sumatera utara sebagai pemohon kasasi/tergugat.",0.971,0.895,0.932
"sohib, bertempat tinggal di kemanggisan, gang h. harun ii, rt 004, rw 011, kelurahan palmerah, kecamatan palmerah, jakarta barat, dalam hal ini memberi kuasa kepada firyal gilang harifi, s.h., dan kawan-kawan, para advokat pada kantor hukum abyakta & rekan, beralamat di jalan puri kencana, nomor 34 a, kelurahan cipete selatan, jakarta selatan, berdasarkan dengan surat kuasa khusus tanggal 13 apirl 2020; pemohon kasasi;","sohib, bertempat tinggal di kemanggisan, gang h. harun ii, rt 004, rw 011, kelurahan palmerah, kecamatan palmerah, jakarta barat, dalam hal ini memberi kuasa kepada firyal gilang harifi, s.h., dan kawan-kawan, para advokat pada kantor hukum abyakta & rekan, beralamat di jalan puri kencana, nomor 34 a, kelurahan cipete selatan, jakarta selatan pemohon kasasi/penggugat.",0.982,0.859,0.917
"sohib, bertempat tinggal di kemanggisan, gang h. harun ii, rt 004, rw 011, kelurahan palmerah, kecamatan palmerah, jakarta barat, dalam hal ini memberi kuasa kepada firyal gilang harifi, s.h., dan kawan-kawan, para advokat pada kantor hukum abyakta & rekan, beralamat di jalan puri kencana, nomor 34 a, kelurahan cipete selatan, jakarta selatan, berdasarkan dengan surat kuasa khusus tanggal 13 apirl 2020; pemohon kasasi;","sohib, bertempat tinggal di kemanggisan, gang h. harun ii, rt 004, rw 011, kelurahan palmerah, kecamatan palmerah, jakarta barat, dalam hal ini memberi kuasa kepada firyal gilang harifi, s.h., dan kawan-kawan, para advokat pada kantor hukum abyakta & rekan, beralamat di jalan puri kencana, nomor 34 a, kelurahan cipete selatan, jakarta selatan pemohon kasasi/penggugat.",0.982,0.859,0.917
"pt sinar mas multifinance cabang pekanbaru, yang diwakili direktur ricky faerus, berkedudukan di gedung bank sinar mas, lantai iii, jalan riau, nomor 105 pekanbaru, dalam hal ini memberi kuasa kepada junaidi sitorus dan kawan, branch manager mobil pada pt sinar mas multifinance kantor cabang pekanbaru, beralamat di jalan garu vi, gang merpati, nomor 30 f, kelurahan harjosari i, kecamatan medan amplas, medan, berdasarkan surat kuasa khusus 3 juni 2020; pemohon kasasi;","pt sinar mas multifinance cabang pekanbaru, yang diwakili direktur ricky faerus, berkedudukan di gedung bank sinar mas, lantai iii, jalan riau, nomor 105 pekanbaru, dalam hal ini memberi kuasa kepada junaidi sitorus dan kawan, branch manager mobil pada pt sinar mas multifinance kantor cabang pekanbaru, beralamat di jalan garu vi, gang merpati, nomor 30 f, kelurahan harjosari i, kecamatan medan amplas, medan sebagai pemohon kasasi/tergugat.",0.970,0.901,0.934
"pt sinar mas multifinance cabang pekanbaru, yang diwakili oleh direktur ricky faerus, berkedudukan di gedung bank sinar mas, lantai iii, jalan riau, nomor 105, pekanbaru, dalam hal ini memberi kuasa kepada junaidi sitorus, dan kawan, branch manager mobil pada pt sinar mas multifinance kantor cabang pekanbaru berdasarkan surat kuasa khusus tanggal 3 juni 2020; pemohon kasasi;","pt sinar mas multifinance cabang pekanbaru, yang diwakili oleh direktur ricky faerus, berkedudukan di gedung bank sinar mas, lantai iii, jalan riau, nomor 105, pekanbaru, dalam hal ini memberi kuasa kepada junaidi sitorus, dan kawan, branch manager mobil pada pt sinar mas multifinance kantor cabang pekanbaru sebagai pemohon kasasi/tergugat.",0.960,0.857,0.906
"pt sinar mas multifinance cabang pekanbaru, yang diwakili oleh direktur ricky faerus, berkedudukan di gedung bank sinar mas, lantai iii, jalan riau, nomor 105, pekanbaru, dalam hal ini memberi kuasa kepada junaidi sitorus, dan kawan, branch manager mobil pada pt sinar mas multifinance kantor cabang pekanbaru berdasarkan surat kuasa khusus tanggal 3 juni 2020; pemohon kasasi;","pt sinar mas multifinance cabang pekanbaru, yang diwakili oleh direktur ricky faerus, berkedudukan di gedung bank sinar mas, lantai iii, jalan riau, nomor 105, pekanbaru, dalam hal ini memberi kuasa kepada junaidi sitorus, dan kawan, branch manager mobil pada pt sinar mas multifinance kantor cabang pekanbaru sebagai pemohon kasasi/tergugat.",0.960,0.857,0.906
"pt asuransi reliance indonesia, yang diwakili oleh direksi, mardiana, s.e., dan wibisono julianto, berkedudukan di menara batavia, lantai 27, jalan kh mas mansyur, kav. 126, jakarta 10220, dalam hal ini memberi kuasa kepada alvin ayodhia siregar, s.e., s.h., m.m., m.h., dan kawan, para advokat pada kantor advokat alvin ayodhia siregar & associates, beralamat di cohive, cowell tower, level gf, unit 1, jalan senen raya, blok a, nomor 135, jakarta 10410, berdasarkan surat kuasa khusus tanggal 4 februari 2020; pemohon kasasi;","pt asuransi reliance indonesia, yang diwakili oleh direksi, mardiana, s.e., dan wibisono julianto, berkedudukan di menara batavia, lantai 27, jalan kh mas mansyur, kav. 126, jakarta 10220, dalam hal ini memberi kuasa kepada alvin ayodhia siregar, s.e., s.h., m.m., m.h., dan kawan, para advokat pada kantor advokat alvin ayodhia siregar & associates, beralamat di cohive, cowell tower, level gf, unit 1, jalan senen raya, blok a, nomor 135, jakarta 10410 sebagai pemohon kasasi/tergugat.",0.974,0.905,0.938
