Rang.Sistem,Rang.Pakar,Preccsion,Recall,Rouge_Score
"bahwa mutasi penggugat dari manager school licence & stake holder relations ke departemen mine closure plan merupakan mutasi demosi yang tidak beralasan hukum sebagaimama telah dipertimbangkan judex facti berdasarkan alat bukti karena principal social mine closure berada di bawah dan bertanggung jawab kepada manajer mine closure plan, diperintah dan diberi tugas oleh manager mine closure plan serta membuat laporan kepada manager mine closure plan. manager mine closure plan dapat melakukan pembinaan apabila kinerja dari principal social mine closure kurang/tidak baik, sehingga pemutusan hubungan kerja beralasan hukum dengan alasan disharmonis sesuai penjelasan umum alinea iii undang undang nomor 2 tahun 2004 tentang penyelesaian perselisihan hubungan industrial yang pada pokoknya menyatakan hubungan kerja harus merupakan kesepakatan para pihak (pekerja dengan pengusaha);","mahkamah agung berpendapat bahwa permohonan kasasi dari pemohon kasasi tersebut tidak dapat dibenarkan, dihubungkan dengan pertimbangan judex facti pengadilan hubungan industrial pada pengadilan negeri ternate telah benar menerapkan hukum menyatakan pemutusan hubungan kerja dengan pertimbangan sebagai berikut: pemutusan hubungan kerja tersebut beralasan hukum dengan alasan disharmonis sesuai penjelasan umum alinea iii undang undang nomor 2 tahun 2004 tentang penyelesaian perselisihan hubungan industrial yang pada pokoknya menyatakan hubungan kerja harus merupakan kesepakatan para pihak (pekerja dengan pengusaha); kompensasi telah menerapkan hukum berdasarkan pada perjanjian kerja bersama periode 2018 – 2020 yang merupakan hasil perundingan secara musyawarah dari serikat pekerja dengan pengusaha, dan sesuai dengan pasal 126 ayat (1) undang-undang nomor 13 tahun 2003 tentang ketenagakerjaan.",0.447,0.429,0.438
"bahwa tepat pemutusan hubungan kerja tanpa kesalahan dalam hubungan kerja perjanjian kerja waktu tidak tertentu (pkwtt) sejak adanya pelanggaran perjanjian kerja waktu tertentu (pkwt) oleh pemohon kasasi;. 2. bahwa adapun alasan pemohon kasasi hubungan kerja sebelum pembuatan perjanjian kerja waktu tertentu (pkwt) telah berakhir dengan adanya surat lamaran termohon kasasi tidak dapat dibenarkan karena sesuai ketentuan pasal 59 ayat (2), (4) undang undang nomor 13. tahun 2003 tentang ketenagakerjaan setelah perjanjian kerja waktu tertentu (pkwt) diperpanjang harus dilakukan pembaruan dengan jangka waktu jeda setidak-tidaknya 30 (tiga puluh) hari sejak berakhirnya perjanjian kerja waktu tertentu (pkwt) perpanjangan, bukan surat lamaran kerja baru;. 3. bahwa pemutusan hubungan kerja termohon kasasi berhak atas 2 (dua) kali uang peangon, uang penggantian hak dengan tanpa upah proses sesuai surat edaran mahkamah agung nomor 03 tahun 2018;. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri palembang dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi: pt bina san prima tersebut harus ditolak;. menimbang, bahwa oleh karena nilai gugatan dalam perkara ini di bawah rp150.000.000,00 (seratus lima puluh juta rupiah), sebagaimana ditentukan dalam pasal 58 undang undang nomor 2 tahun 2004, maka biaya perkara dalam tingkat kasasi ini dibebankan kepada negara;","mahkamah agung berpendapat bahwa pengadilan hubungan industrial pada pengadilan negeri palembang telah benar menerapkan hukum. hal ini dikarenakan bahwa tepat pemutusan hubungan kerja tanpa kesalahan dalam hubungan kerja perjanjian kerja waktu tidak tertentu (pkwtt). alasan pemohon kasasi/tergugat yakni bahwa perjanjian kerja waktu tertentu (pkwt) telah berakbir dengan adanya surat lamaran termohon kasasi/penggugat tidak dapat dibenarkan karena sesuai ketentuan pasal 59 ayat (2), (4) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan. selain itu termohon kasasi/penggugat berhak atas 2 (dua) kali uang peangon, uang penggantian hak dengan tanpa upah proses sesuai surat edaran mahkamah agung nomor 03 tahun 2018.",0.851,0.398,0.543
"bahwa penggugat dalam surat gugatannya mendudukkan suryanto, hrd pt security phisik dinamika, selaku tergugat. padahal suryanto bukan direksi dari perseroan melainkan hrd tanpa ada kuasa khusus substitusi dari direksi perseroan untuk mewakili perseoran dalam perselisihan antara pemohon kasasi dengan termohon kasasi di pengadilan hubungan industrial., sehingga tidak memenuhi ketentuan pasal 98 ayat (1) undang undang nomor 40 tahun 2007 tentang perseroan terbatas yang merupakan direksi bertindak atas nama perseroan di dalam dan di luar pengadilan;. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri bandung dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi heara halawa tersebut harus ditolak;","mahkamah agung berpendapat dalam hal ini pengadilan hubungan industrial pada pengadilan negeri bandung telah benar menerapkan hukum dalam putusan verzet menyatakan gugatan penggugat sekarang pemohon kasasi tidak dapat diterima dengan pertimbangan bahwa penggugat dalam surat gugatannya mendudukkan suryanto, hrd pt security phisik dinamika, selaku tergugat. padahal suryanto bukan direksi dari perseroan melainkan hrd tanpa ada kuasa khusus substitusi dari direksi perseroan untuk mewakili perseoran dalam perselisihan antara pemohon kasasi dengan termohon kasasi di pengadilan hubungan industrial., sehingga tidak memenuhi ketentuan pasal 98 ayat (1) undang undang nomor 40 tahun 2007 tentang perseroan terbatas yang merupakan direksi bertindak atas nama perseroan di dalam dan di luar pengadilan.",0.858,0.784,0.820
"bahwa alasan-alasan permohonan kasasi dari pemohon kasasi tersebut tidak dapat dibenarkan, oleh karena setelah membaca dan meneliti memori kasasi tanggal 7 juni 2018 dan kontra memori kasasi tanggal 10. oktober 2018, dihubungkan dengan pertimbangan judex facti, dalam hal ini pengadilan hubungan industrial pada pengadilan negeri medan telah benar menerapkan hukum menyatakan pemutusan hubungan kerja dengan 2 (dua) kali uang pesangon, uang penghargaan masa kerja dan uang penggantian hak dengan dengan pertimbangan sebagai berikut:. 1. bahwa antara pemohon kasasi dengan termohon kasasi dalam hubungan kerja perjanjian kerja waktu tidak tertentu/tetap, karena meskipun pekerja mengakui dalam gugatannya menerima upah harian, dan pengakuan pemohon kasasi/pengusaha dalam jawaban menyatakan pekerja harian namun tidak ada perjanjian kerja tertulis sehingga melanggar ketentuan pasal 57 ayat (1) undang undang nomor. 2. bahwa judex facti telah tepat memutus pemutusan hubungan kerja guna mengakhiri perselisihan antara pemohon kasasi dengan termohon kasasi, karena telah melalui proses penyelesaian sejak bipartit tidak tercapai kesepakatan untuk bekerja kembali, lagi pula tidak terkait dengan alasan pemutusan hubungan kerja yang dilarang sesuai ketentuan pasal 153 undang undang nomor 13 tahun 2003 tentang ketenagakerjaan sehingga tidak beralasan hukum bekerja kembali;. - bahwa oleh karena pemutusan hubungan kerja dari pekerja harian/perjanjian kerja waktu tertentu menjadi tetap/perjanjian kerja waktu tidak tertentu tidak berhak atas upah proses selama 6 (enam) bulan sesuai surat edaran mahkamah agung nomor 03 tahun 2018;. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri medan dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi: pt laut united (pengusaha) tersebut harus ditolak dengan perbaikan;. menimbang, bahwa oleh karena nilai gugatan dalam perkara ini di bawah rp150.000.000,00 (seratus lima puluh juta rupiah), sebagaimana ditentukan dalam pasal 58 undang undang nomor 2 tahun 2004, maka biaya perkara dalam tingkat kasasi ini dibebankan kepada negara;","mahkamah agung berpendapat bahwa pengadilan hubungan industrial pada pengadilan negeri medan telah benar menerapkan hukum menyatakan pemutusan hubungan kerja dengan 2 (dua) kali uang pesangon, uang penghargaan masa kerja dan uang penggantian hak. selain itu mahkamah agung berpendapat bahwa amar putusan judex facti pengadilan hubungan industrial pada pengadilan negeri medan nomor 251/pdt.sus-phi/2017/pn mdn. tanggal 20 februari 2017 harus diperbaiki sepanjang mengenai amar nomor 4 dan 5.",0.676,0.154,0.251
"bahwa alasan-alasan permohonan kasasi dari pemohon kasasi tersebut dapat dibenarkan, oleh karena setelah membaca dan meneliti memori kasasi tanggal 16 april 2020 dan kontra memori kasasi tanggal 6 mei. - bahwa judex facti menolak gugatan pemohon kasasi dahulu penggugat seluruhnya karena pemohon kasasi sah mengundurkan diri dan menimbang uang pesangon dan uang penghargaan masa kerja rp0,00 (nol rupiah) maka tidak berhak pula atas uang penggantian hak dengan sendirinya berjumlah rp0,00 (nol rupiah);. undang undang nomor 13 tahun 2003 tentang ketenagakaerjaan juncto kepmenakertrans nomor kep.78/men/200 pasal 26 b huruf d, pemohon kasasi berhak atas ganti rugi 15% x masa kerja 18 (delapan belas) tahun x upah/bulan = 15% x 14 x rp6.675.848,00 = rp14.019.280,00, oleh karenanya gugatan penggugat harus dikabulkan sebagian;. - bahwa adapun alasan pemohon kasasi pengunduran diri tidak sah sejak tanggal 18 januari 2018 karena belum 30 (tiga puluh) hari sejak tanggal pengunduran diri tidak dibenarkan, karena pengaturan waktu demikian bertujuan untuk melindungi kepentingan pengusaha dalam mengatur pengelolaan pekerja demi menjaga kesinambungan proses produksi, jika. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, mahkamah agung berpendapat, terdapat cukup alasan untuk mengabulkan permohonan kasasi dari pemohon kasasi: sohib tersebut dan membatalkan putusan pengadilan hubungan industrial pada pengadilan negeri jakarta pusat nomor 371/pdt.sus-phi/2019/pn jkt.pst. tanggal 2. menimbang, bahwa oleh karena nilai gugatan dalam perkara ini di bawah rp150.000.000,00 (seratus lima puluh juta rupiah), sebagaimana ditentukan dalam pasal 58 undang undang nomor 2 tahun 2004, maka biaya perkara dalam tingkat kasasi ini dibebankan kepada negara;","mahkamah agung berpendapat bahwa pengadilan hubungan industrial pada pengadilan negeri jakarta pusat telah salah menerapkan hukum. hal ini dikarenakan: bahwa judex facti menolak gugatan pemohon kasasi dahulu penggugat seluruhnya karena pemohon kasasi sah mengundurkan diri dan menimbang uang pesangon dan uang penghargaan masa kerja rp0,00 (nol rupiah) maka tidak berhak pula atas uang penggantian hak dengan sendirinya berjumlah rp0,00 (nol rupiah); bahwa penerapan hak kompensasi demikian salah menerapkan hukum seharusnya judex facti mendasarkan pada ketentuan pasal 191 undang undang nomor 13 tahun 2003 tentang ketenagakaerjaan juncto kepmenakertrans nomor kep.78/men/200 pasal 26 b huruf d, pemohon kasasi berhak atas ganti rugi 15% x masa kerja 18 (delapan belas) tahun x upah/bulan = 15% x 14 x rp6.675.848,00 = rp14.019.280,00, oleh karenanya gugatan penggugat harus dikabulkan sebagian; selain itu, ma juga berpendapat bahwa terdapat cukup alasan untuk mengabulkan permohonan kasasi dari pemohon kasasi: sohib tersebut dan membatalkan putusan pengadilan hubungan industrial pada pengadilan negeri jakarta pusat nomor 371/pdt.sus-phi/2019/pn jkt.pst.",0.815,0.542,0.651
"bahwa alasan-alasan permohonan kasasi dari pemohon kasasi tersebut dapat dibenarkan, oleh karena setelah membaca dan meneliti memori kasasi tanggal 16 april 2020 dan kontra memori kasasi tanggal 6 mei. - bahwa judex facti menolak gugatan pemohon kasasi dahulu penggugat seluruhnya karena pemohon kasasi sah mengundurkan diri dan menimbang uang pesangon dan uang penghargaan masa kerja rp0,00 (nol rupiah) maka tidak berhak pula atas uang penggantian hak dengan sendirinya berjumlah rp0,00 (nol rupiah);. undang undang nomor 13 tahun 2003 tentang ketenagakaerjaan juncto kepmenakertrans nomor kep.78/men/200 pasal 26 b huruf d, pemohon kasasi berhak atas ganti rugi 15% x masa kerja 18 (delapan belas) tahun x upah/bulan = 15% x 14 x rp6.675.848,00 = rp14.019.280,00, oleh karenanya gugatan penggugat harus dikabulkan sebagian;. - bahwa adapun alasan pemohon kasasi pengunduran diri tidak sah sejak tanggal 18 januari 2018 karena belum 30 (tiga puluh) hari sejak tanggal pengunduran diri tidak dibenarkan, karena pengaturan waktu demikian bertujuan untuk melindungi kepentingan pengusaha dalam mengatur pengelolaan pekerja demi menjaga kesinambungan proses produksi, jika. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, mahkamah agung berpendapat, terdapat cukup alasan untuk mengabulkan permohonan kasasi dari pemohon kasasi: sohib tersebut dan membatalkan putusan pengadilan hubungan industrial pada pengadilan negeri jakarta pusat nomor 371/pdt.sus-phi/2019/pn jkt.pst. tanggal 2. menimbang, bahwa oleh karena nilai gugatan dalam perkara ini di bawah rp150.000.000,00 (seratus lima puluh juta rupiah), sebagaimana ditentukan dalam pasal 58 undang undang nomor 2 tahun 2004, maka biaya perkara dalam tingkat kasasi ini dibebankan kepada negara;","mahkamah agung berpendapat bahwa pengadilan hubungan industrial pada pengadilan negeri jakarta pusat telah salah menerapkan hukum. hal ini dikarenakan: bahwa judex facti menolak gugatan pemohon kasasi dahulu penggugat seluruhnya karena pemohon kasasi sah mengundurkan diri dan menimbang uang pesangon dan uang penghargaan masa kerja rp0,00 (nol rupiah) maka tidak berhak pula atas uang penggantian hak dengan sendirinya berjumlah rp0,00 (nol rupiah); bahwa penerapan hak kompensasi demikian salah menerapkan hukum seharusnya judex facti mendasarkan pada ketentuan pasal 191 undang undang nomor 13 tahun 2003 tentang ketenagakaerjaan juncto kepmenakertrans nomor kep.78/men/200 pasal 26 b huruf d, pemohon kasasi berhak atas ganti rugi 15% x masa kerja 18 (delapan belas) tahun x upah/bulan = 15% x 14 x rp6.675.848,00 = rp14.019.280,00, oleh karenanya gugatan penggugat harus dikabulkan sebagian; selain itu, ma juga berpendapat bahwa terdapat cukup alasan untuk mengabulkan permohonan kasasi dari pemohon kasasi: sohib tersebut dan membatalkan putusan pengadilan hubungan industrial pada pengadilan negeri jakarta pusat nomor 371/pdt.sus-phi/2019/pn jkt.pst.",0.815,0.542,0.651
"juli 2020, dihubungkan dengan pertimbangan judex facti, dalam hal ini pengadilan hubungan industrial pada pengadilan negeri pekanbaru telah tepat menerapkan hukum menyatakan pemutusan hubungan kerja dalam hubungan kerja perjanjian kerja waktu tidak tertentu/tetap berhak atas uang kompensasi 2 (dua) kali uang pesangon, uang penghargaan masa kerja dan. 1. bahwa hubungan kerja sebelum adanya perjanjian kerja waktu tertentu- perjanjian kerja waktu tertentu antara pemohon kasasi dengan termohon kasasi terlebih dahulu dengan masa percobaan (vide keterangan saksi-saksi penggugat dan tergugat) melanggar ketentuan pasal 58 ayat (1) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan dan sesuai ketentuan pasal 51 ayat (1) dan pasal 57 ayat (1) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan perjanjian kerja waktu tertentu menjadi perjanjian kerja waktu tidak tertentu/tetap;. 2. bahwa kemudian setelah masa percobaan antara pemohon kasasi dengan termohon kasasi terikat beberapa kali perjanjian kerja waktu tertentu dan terakhir kali berakhir tanggal 29 juli 2019, namun karena hubungan kerja telah berawal dari perjanjian kerja waktu tidak tertentu/tetap dan belum pernah ada pemutusan hubunga kerja, maka hubungan kerja harus berlanjut dalam perjanjian kerja waktu tidak tertentu/tetap sampai dengan tanggal 29 juli 2019;. - bahwa menimbang pemutusan hubungan kerja antara penggugat/ termohon kasasi dengan tergugat/pemohon kasasi terjadi dalam perjanjian kerja waktu tertentu yang ternyata menjadi perjanjian kerja waktu tidak tertentu sebagaimana telah dipertimbangkan, maka amar putusan judex facti harus diperbaiki dan adil termohon kasasi tidak berhak atas upah proses sesuai surat edaran mahkamah agung nomor","mahkamah agung berpendapat bahwa pengadilan hubungan industrial pada pengadilan negeri pekanbaru telah tepat menerapkan hukum menyatakan pemutusan hubungan kerja dalam hubungan kerja perjanjian kerja waktu tidak tertentu/tetap berhak atas uang kompensasi 2 (dua) kali uang pesangon, uang penghargaan masa kerja dan uang penggantian hak. selain itu ma berpendapat bahwa amar putusan judex facti pengadilan hubungan industrial pada pengadilan negeri pekanbaru nomor 16/pdt.sus-phi/2020/pn pbr. tanggal 28 april 2020 harus diperbaiki sepanjang mengenai amar angka 3.3.4.",0.634,0.215,0.321
"bahwa alasan-alasan permohonan kasasi dari pemohon kasasi tersebut tidak dapat dibenarkan, oleh karena setelah membaca dan meneliti memori kasasi masing-masing tanggal 26 juni 2020 serta kontra memori kasasi tanggal 17 juli 2020, dan dihubungkan dengan pertimbangan judex facti, dalam hal ini pengadilan hubungan industrial pada pengadilan negeri pekanbaru telah tepat menerapkan hukum menyatakan pemutusan hubungan kerja dalam hubungan kerja perjanjian kerja waktu tidak tertentu/tetap berhak atas uang kompensasi 2 (dua) kali uang pesangon, uang penghargaan masa. 1. bahwa hubungan kerja sebelum adanya perjanjian kerja waktu tertentu- perjanjian kerja waktu tertentu antara pemohon kasasi dengan termohon kasasi terlebih dahulu dengan masa percobaan secara lisan (vide keterangan saksi penggugat dan tergugat) melanggar ketentuan pasal 58 ayat (1) undang undang nomor 13 tahun 2003 dan sesuai ketentuan pasal 51 ayat (1) dan pasal 57 ayat (1) undang undang nomor 13 tahun 2003 perjanjian kerja waktu tertentu menjadi perjanjian kerja waktu tidak tertentu/tetap;. 2. bahwa kemudian setelah masa percobaan antara pemohon kasasi dengan termohon kasasi terikat beberapa kali perjanjian kerja waktu tertentu dan terakhir kali berakhir tanggal 29 juli 2019, namun hubungan kerja telah berawal dari perjanjian kerja waktu tidak tertentu/tetap dan belum pernah ada pemutusan hubungan kerja maka hubungan kerja harus berlanjut dalam perjanjian kerja waktu tidak tertentu/tetap sampai dengan tanggal 29 juli 2019;. - bahwa menimbang pemutusan hubungan kerja antara penggugat/ termohon kasasi dengan tergugat/pemohon kasasi terjadi dalam perjanjian kerja waktu tertentu yang ternyata menjadi perjanjian kerja waktu tidak tertentu sebagaimana telah dipertimbangkan, maka amar putusan judex facti harus diperbaiki dan adil termohon kasasi tidak berhak atas upah proses sesuai surat edaran mahkamah agung nomor 03 tahun","mahkamah agung berpendapat bahwa pengadilan hubungan industrial pada pengadilan negeri pekanbaru telah tepat menerapkan hukum menyatakan pemutusan hubungan kerja dalam hubungan kerja perjanjian kerja waktu tidak tertentu/tetap berhak atas uang kompensasi 2 (dua) kali uang pesangon, uang penghargaan masa kerja dan uang penggantian hak. selain itu ma berpendapat bahwa amar putusan judex facti pengadilan hubungan industrial pada pengadilan negeri pekanbaru nomor 11/pdt.sus-phi/2020/pn pbr. tanggal 6 mei 2020 harus diperbaiki sepanjang mengenai amar angka 3.3.6.",0.646,0.196,0.300
"bahwa alasan-alasan permohonan kasasi dari pemohon kasasi tersebut tidak dapat dibenarkan, oleh karena setelah membaca dan meneliti memori kasasi masing-masing tanggal 26 juni 2020 serta kontra memori kasasi tanggal 17 juli 2020, dan dihubungkan dengan pertimbangan judex facti, dalam hal ini pengadilan hubungan industrial pada pengadilan negeri pekanbaru telah tepat menerapkan hukum menyatakan pemutusan hubungan kerja dalam hubungan kerja perjanjian kerja waktu tidak tertentu/tetap berhak atas uang kompensasi 2 (dua) kali uang pesangon, uang penghargaan masa. 1. bahwa hubungan kerja sebelum adanya perjanjian kerja waktu tertentu- perjanjian kerja waktu tertentu antara pemohon kasasi dengan termohon kasasi terlebih dahulu dengan masa percobaan secara lisan (vide keterangan saksi penggugat dan tergugat) melanggar ketentuan pasal 58 ayat (1) undang undang nomor 13 tahun 2003 dan sesuai ketentuan pasal 51 ayat (1) dan pasal 57 ayat (1) undang undang nomor 13 tahun 2003 perjanjian kerja waktu tertentu menjadi perjanjian kerja waktu tidak tertentu/tetap;. 2. bahwa kemudian setelah masa percobaan antara pemohon kasasi dengan termohon kasasi terikat beberapa kali perjanjian kerja waktu tertentu dan terakhir kali berakhir tanggal 29 juli 2019, namun hubungan kerja telah berawal dari perjanjian kerja waktu tidak tertentu/tetap dan belum pernah ada pemutusan hubungan kerja maka hubungan kerja harus berlanjut dalam perjanjian kerja waktu tidak tertentu/tetap sampai dengan tanggal 29 juli 2019;. - bahwa menimbang pemutusan hubungan kerja antara penggugat/ termohon kasasi dengan tergugat/pemohon kasasi terjadi dalam perjanjian kerja waktu tertentu yang ternyata menjadi perjanjian kerja waktu tidak tertentu sebagaimana telah dipertimbangkan, maka amar putusan judex facti harus diperbaiki dan adil termohon kasasi tidak berhak atas upah proses sesuai surat edaran mahkamah agung nomor 03 tahun","mahkamah agung berpendapat bahwa pengadilan hubungan industrial pada pengadilan negeri pekanbaru telah tepat menerapkan hukum menyatakan pemutusan hubungan kerja dalam hubungan kerja perjanjian kerja waktu tidak tertentu/tetap berhak atas uang kompensasi 2 (dua) kali uang pesangon, uang penghargaan masa kerja dan uang penggantian hak. selain itu ma berpendapat bahwa amar putusan judex facti pengadilan hubungan industrial pada pengadilan negeri pekanbaru nomor 11/pdt.sus-phi/2020/pn pbr. tanggal 6 mei 2020 harus diperbaiki sepanjang mengenai amar angka 3.3.6.",0.646,0.196,0.300
"bahwa alasan tersebut tidak dapat dibenarkan, oleh karena setelah meneliti secara saksama memori kasasi tanggal 10 juli 2020 dan kontra memori kasasi tanggal 11 agustus 2020 dihubungkan dengan pertimbangan judex facti, dalam hal ini pengadilan hubungan industrial pada pengadilan negeri jakarta pusat tidak salah menerapkan hukum dengan pertimbangan sebagai berikut:. bahwa pemutusan hubungan kerja yang dilakukan pemohon kasasi terhadap termohon kasasi dilakukan karena divisi marketing communication yang seharusnya dijabat oleh termohon kasasi tidak jadi dibentuk perusahaan, bukan karena kesalahan termohon kasasi;. bahwa alasan pemohon kasasi yang menyatakan gugatan prematur karena tidak ada upaya bipartit, tidak menjadikan gugatan tidak dapat diterima (niet ontvankelijke verklaard), karena sesuai ketentuan pasal 83 ayat (1) undang undang nomor 2 tahun 2004 tentang penyelesaian perselisihan hubungan industrial menentukan bahwa: “pengajuan gugatan yang tidak. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri jakarta pusat dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi: pt asuransi reliance indonesia, tersebut harus ditolak;. menimbang, bahwa oleh karena nilai gugatan dalam perkara ini rp150.000.000,00 (seratus lima puluh juta rupiah) ke atas, sedangkan permohonan kasasi dari pemohon kasasi ditolak, maka sebagaimana ditentukan dalam pasal 58 undang undang nomor 2 tahun 2004 tentang penyelesaian perselisihan hubungan industrial, pemohon kasasi harus dihukum untuk membayar biaya perkara pada semua tingkat peradilan;","mahkamah agung berpendapat bahwa pengadilan hubungan industrial pada pengadilan negeri jakarta pusat tidak salah menerapkan hukum. hal ini dikarenakan divisi marketing communication yang seharusnya dijabat oleh termohon kasasi tidak jadi dibentuk perusahaan, bukan karena kesalahan termohon kasasi. selain itu pemohon kasasi yang menyatakan gugatan prematur karena tidak ada upaya bipartit, tidak menjadikan gugatan tidak dapat diterima (niet ontvankelijke verklaard), karena sesuai ketentuan pasal 83 ayat (1) undang undang nomor 2 tahun 2004 tentang penyelesaian perselisihan hubungan industrial.",0.922,0.313,0.467
