Rang.Sistem,Rang.Pakar,Preccsion,Recall,F-Measure
"ajarani mangkujati, bertempat tinggal di jalan kramat jaya baru ii, nomor 32, rt 015, rw 001, kelurahan johar baru, kecamatan johar baru, jakarta pusat, dalam hal ini memberi kuasa kepada asnifriyanti damanik, s.h., advokat pada bk law office, beralamat di jalan radar auri, ruko pondok cibubur, blok e 11, cimanggis, depok, jawa barat, berdasarkan surat kuasa khusus tanggal 23 desember 2019; termohon kasasi; mahkamah agung tersebut;","ajarani mangkujati, bertempat tinggal di jalan kramat jaya baru ii, nomor 32, rt 015, rw 001, kelurahan johar baru, kecamatan johar baru, jakarta pusat, dalam hal ini memberi kuasa kepada asnifriyanti damanik, s.h., advokat pada bk law office, beralamat di jalan radar auri, ruko pondok cibubur, blok e 11, cimanggis, depok, jawa  barat sebagai termohon kasasi/penggugat.",0.966,0.836,0.896
"muhammad sumadi, bertempat tinggal di jalan panca usaha, rt 54, rw 12, kelurahaan 5 ulu, kecamatan seberang ulu i, kota palembang, dalam hal ini memberi kuasa kepada ramlianto, pengurus, pada serikat buruh sriwijaya (sb sri), beralamat di komplek phdm i, nomor 102 a, rt 042, rw 001, kelurahan kalidoni, kecamatan kalidoni, kota palembang, berdasarkan surat kuasa khusus tanggal 5 juni 2020; termohon kasasi; mahkamah agung tersebut;","muhammad sumadi, bertempat tinggal di jalan panca usaha, rt 54, rw 12, kelurahaan 5 ulu, kecamatan seberang ulu i, kota palembang, dalam hal ini memberi kuasa kepada ramlianto, pengurus, pada serikat buruh sriwijaya (sb sri), beralamat di komplek phdm i, nomor 102 a, rt 042, rw 001, kelurahan kalidoni, kecamatan kalidoni, kota palembang sebagai termohon kasasi/penggugat.",0.965,0.833,0.894
"suryanto, hrd pt security phisik dinamika, berkedudukan di jalan bina marga, nomor 30, kelurahan sanja, kecamatan citeureup, bogor; termohon kasasi; mahkamah agung tersebut;","suryanto, hrd pt security phisik dinamika, berkedudukan di jalan bina marga, nomor 30, kelurahan sanja, kecamatan citeureup, bogor sebagai termohon kasasi.",0.952,0.870,0.909
"dewi murni pasaribu, bertempat tinggal di kp. salam, blok i, belawan ii, medan belawan, sumatera utara, dalam hal ini memberi kuasa kepada ir. eron jekson sihombing, s.h., dan kawan, para advokat pada law office jekson nababan & partners, beralamat di jalan bunga mawar xiii a, nomor 51 c, kelurahan selayang i, kecamatan medan selayang, kota medan, sumatera utara, berdasarkan surat kuasa khusus tanggal 1 oktober 2018; termohon kasasi; mahkamah agung tersebut;","dewi murni pasaribu, bertempat tinggal di kp. salam, blok i, belawan ii, medan belawan, sumatera utara, dalam hal ini memberi kuasa kepada ir. eron jekson sihombing, s.h., dan kawan, para advokat pada law office jekson nababan & partners, beralamat di jalan bunga mawar xiii a, nomor 51 c, kelurahan selayang i, kecamatan medan selayang, kota medan, sumatera utara sebagai termohon kasasi/penggugat.",0.968,0.845,0.902
"pt intisar soluzindo, yang diwakili direktur utama peter chandra djajadi, berkedudukan di jalan pemuda, nomor 103, kelurahan jati, kecamatan pulogadung, jakarta timur, dalam hal ini memberi kuasa kepada heri perdana tarigan, s.h., c.l.a., dan kawan-kawan, para advokat pada hassp law firm, advisory and legal practitioner, beralamat di haery one building, lv. 4, u/s.05, jalan kemang selatan raya, nomor 151, jakarta, berdasarkan dengan surat kuasa khusus tanggal 30 april 2020; termohon kasasi; mahkamah agung tersebut;","pt intisar soluzindo, yang diwakili direktur utama peter chandra djajadi, berkedudukan di jalan pemuda, nomor 103, kelurahan jati, kecamatan pulogadung, jakarta timur, dalam hal ini memberi kuasa kepada heri perdana tarigan, s.h., c.l.a., dan kawan-kawan, para advokat pada hassp law firm, advisory and legal practitioner, beralamat di haery one building, lv. 4, u/s.05, jalan kemang selatan raya, nomor 151, jakarta sebagai termohon kasasi/tergugat.",0.971,0.850,0.907
"pt intisar soluzindo, yang diwakili direktur utama peter chandra djajadi, berkedudukan di jalan pemuda, nomor 103, kelurahan jati, kecamatan pulogadung, jakarta timur, dalam hal ini memberi kuasa kepada heri perdana tarigan, s.h., c.l.a., dan kawan-kawan, para advokat pada hassp law firm, advisory and legal practitioner, beralamat di haery one building, lv. 4, u/s.05, jalan kemang selatan raya, nomor 151, jakarta, berdasarkan dengan surat kuasa khusus tanggal 30 april 2020; termohon kasasi; mahkamah agung tersebut;","pt intisar soluzindo, yang diwakili direktur utama peter chandra djajadi, berkedudukan di jalan pemuda, nomor 103, kelurahan jati, kecamatan pulogadung, jakarta timur, dalam hal ini memberi kuasa kepada heri perdana tarigan, s.h., c.l.a., dan kawan-kawan, para advokat pada hassp law firm, advisory and legal practitioner, beralamat di haery one building, lv. 4, u/s.05, jalan kemang selatan raya, nomor 151, jakarta sebagai termohon kasasi/tergugat.",0.971,0.850,0.907
"agus hari saptono, bertempat tinggal di jalan harapan jaya, rt 007, rw 008, kelurahan/desa lembah damai, kecamatan rumbai pesisir, kota pekanbaru, provinsi riau, dalam hal ini memberi kuasa kepada jhoni m.t. silaban, s.h., dan kawan, para advokat pada kantor hukum jhoni mt. silaban, s.h. & partners, beralamat di jalan k.h. achmad dahlan, nomor 76 d, lt ii, sukajadi, kota pekanbaru, berdasarkan surat kuasa khusus tanggal 7 juli 2020; termohon kasasi; mahkamah agung tersebut;","agus hari saptono, bertempat tinggal di jalan harapan jaya, rt 007, rw 008, kelurahan/desa lembah damai, kecamatan rumbai pesisir, kota pekanbaru, provinsi riau, dalam hal ini memberi kuasa kepada jhoni m.t. silaban, s.h., dan kawan, para advokat pada kantor hukum jhoni mt. silaban, s.h. & partners, beralamat di jalan k.h. achmad dahlan, nomor 76 d, lt ii, sukajadi, kota pekanbaru sebagai termohon kasasi/penggugat.",0.971,0.857,0.910
"ade wira abdullah, bertempat tinggal di jalan ahmad yani, gg. tanah datar ii, nomor 40, rt 003, rw 007, kelurahan/desa tanah datar, kecamatan pekanbaru kota, kota pekanbaru, provinsi riau, dalam hal ini memberi kuasa kepada jhoni m.t. silaban, s.h. dan kawan, para advokat pada kantor hukum jhoni mt. silaban, s.h. & partners, beralamat di jalan kh. achmad dahlan, nomor 76 d, lantai ii, sukajadi, kota pekanbaru, berdasarkan surat kuasa khusus tanggal 7 juli 2020; termohon kasasi; mahkamah agung tersebut;","ade wira abdullah, bertempat tinggal di jalan ahmad yani, gg. tanah datar ii, nomor 40, rt 003, rw 007, kelurahan/desa tanah datar, kecamatan pekanbaru kota, kota pekanbaru, provinsi riau, dalam hal ini memberi kuasa kepada jhoni m.t. silaban, s.h. dan kawan, para advokat pada kantor hukum jhoni mt. silaban, s.h. & partners, beralamat di jalan kh. achmad dahlan, nomor 76 d, lantai ii, sukajadi, kota pekanbaru sebagai termohon kasasi/penggugat.",0.973,0.866,0.916
"ade wira abdullah, bertempat tinggal di jalan ahmad yani, gg. tanah datar ii, nomor 40, rt 003, rw 007, kelurahan/desa tanah datar, kecamatan pekanbaru kota, kota pekanbaru, provinsi riau, dalam hal ini memberi kuasa kepada jhoni m.t. silaban, s.h. dan kawan, para advokat pada kantor hukum jhoni mt. silaban, s.h. & partners, beralamat di jalan kh. achmad dahlan, nomor 76 d, lantai ii, sukajadi, kota pekanbaru, berdasarkan surat kuasa khusus tanggal 7 juli 2020; termohon kasasi; mahkamah agung tersebut;","ade wira abdullah, bertempat tinggal di jalan ahmad yani, gg. tanah datar ii, nomor 40, rt 003, rw 007, kelurahan/desa tanah datar, kecamatan pekanbaru kota, kota pekanbaru, provinsi riau, dalam hal ini memberi kuasa kepada jhoni m.t. silaban, s.h. dan kawan, para advokat pada kantor hukum jhoni mt. silaban, s.h. & partners, beralamat di jalan kh. achmad dahlan, nomor 76 d, lantai ii, sukajadi, kota pekanbaru sebagai termohon kasasi/penggugat.",0.973,0.866,0.916
"kristin anggar kusuma, bertempat tinggal di cluster la valleta lv 7, nomor 16, kota modern, kota tangerang, dalam hal ini memberi kuasa kepada arbanigo colia, s.h., dan kawan, para advokat pada kantor hukum arbanigo s. colia & partners, beralamat di jalan raya harapan kita, nomor 1/blok e2, nomor 1, kelapa dua, kabupaten tangerang, berdasarkan surat kuasa khusus tanggal 29 juli 2020; termohon kasasi;","kristin anggar kusuma, bertempat tinggal di cluster la valleta lv 7, nomor 16, kota modern, kota tangerang, dalam hal ini memberi kuasa kepada arbanigo colia, s.h., dan kawan, para advokat pada kantor hukum arbanigo s. colia & partners, beralamat di jalan raya harapan kita, nomor 1/blok e2, nomor 1, kelapa dua, kabupaten tangerang sebagai termohon kasasi/penggugat.",0.966,0.875,0.918
